DSS ADDRESS LIST,Division,Area of Operation,LGA Name,Property Group,Number of Beds,Number of Residents,Active Cases,Total Cases,First Dose,Second Dose,Third Dose,Number of People Tested
"7-9 ST JAMES AVENUE, BENTLEIGH, VIC, 3204",South,South-East,Glen Eira City,SRS,30,,,,3,3,3,
"8 JANMARA COURT, DANDENONG NORTH, VIC, 3175",South,South-East,Greater Dandenong City,SRS,19,19,,3,8,8,6,
"8 RUPERT STREET, BAIRNSDALE, VIC, 3875",South,Gippsland,East Gippsland Shire,SRS,14,10,,,3,3,3,8
"8 TWEED STREET, VERMONT, VIC, 3133",East,North-East,Whitehorse City,SRS,22,21,,,9,9,9,2
"80 STUD ROAD, DANDENONG, VIC, 3175",South,South-East,Greater Dandenong City,SRS,44,36,,44,7,6,3,
"8-12 MARLBOROUGH ROAD, HEATHMONT, VIC, 3135",East,North-East,Maroondah City,SRS,,,,21,,,,
"83-85 STEWART STREET, BRUNSWICK, VIC, 3056",North,North-East,Moreland City,SRS,80,59,,4,20,19,14,
"946-952 FERNTREE GULLY ROAD, WHEELERS HILL, VIC, 3150",East,North-East,Monash City,SRS,45,26,,1,3,3,2,22
"96 MAIN ROAD, LANCEFIELD, VIC, 3435",North,Loddon Mallee,Macedon Ranges Shire,SRS,32,18,,7,8,8,6,
Total,,,,,4125,3164,21,469,1096,1026,757,1004
,,,,,,,,,,,,
"Applied filters:
Scope is In-scope
Property Group is SRS",,,,,,,,,,,,
